Pair,Beta,Spread_p_value,Sharpe,Max_Drawdown,Total_Return
HDFC vs ICICI,1.8944,0.015529,0.5132,-0.0001,1087.5
HDFC vs AXISBANK,0.9976,0.39995,0.6107,-0.0002,932.33
HDFC vs SBIN,0.6206,0.020785,0.0339,-0.0003,46.29
HDFC vs KOTAK,0.0636,0.944503,-0.0876,-0.0005,-144.35
HDFC vs INDUSIND,2.0915,0.56386,0.3586,-0.0003,591.52
HDFC vs BANKBEES,1.063,0.006507,0.5029,-0.0003,643.42
ICICI vs AXISBANK,0.5526,0.637865,0.4982,-0.0001,700.02
ICICI vs SBIN,0.3262,0.051099,0.3373,-0.0001,343.5
ICICI vs KOTAK,0.0143,0.982122,0.3178,-0.0001,338.72
ICICI vs INDUSIND,1.1883,0.684078,0.4597,-0.0001,491.98
ICICI vs BANKBEES,0.5442,0.510581,0.3439,-0.0001,367.77
AXISBANK vs SBIN,0.5304,0.241508,0.2992,-0.0002,252.29
AXISBANK vs KOTAK,-0.0232,0.72509,0.0524,-0.0005,56.09
AXISBANK vs INDUSIND,2.2554,0.000345,1.1079,-0.0002,1201.89
AXISBANK vs BANKBEES,0.8336,0.564309,0.1372,-0.0004,145.12
SBIN vs KOTAK,-0.1299,0.972065,0.2078,-0.0006,290.26
SBIN vs INDUSIND,3.4093,0.636904,0.4981,-0.0003,863.48
SBIN vs BANKBEES,1.6467,0.913342,0.2201,-0.0005,318.38
KOTAK vs INDUSIND,-0.1938,0.214697,-0.2407,-0.0012,-695.96
KOTAK vs BANKBEES,-0.0348,0.232773,-0.2894,-0.0013,-855.7
INDUSIND vs BANKBEES,0.3131,0.44456,-0.0406,-0.0001,-23.28
