Fund House,Latest Buy Date,Stock Count,Tickers,Recent 7D Stocks
SBI,2026-06-11,6,"[VINCOFE, ADFFOODS, URBANCO, BELRISE, HCC-RE1, PGIL]",[VINCOFE]
GOLDMAN SACHS,2026-06-11,4,"[EBGNG, CMRGREEN, CERA, AYE]","[EBGNG, CMRGREEN, CERA]"
MOTILAL OSWAL,2026-06-11,4,"[EBGNG, STLTECH, ADISOFT, APOLLO]","[EBGNG, STLTECH]"
EDELWEISS,2026-06-11,1,[EBGNG],[EBGNG]
MIRAE ASSET,2026-06-11,1,[EBGNG],[EBGNG]
KOTAK MAHINDRA,2026-06-09,4,"[EMCURE, AJANTPHARM, CUBEINVIT, HAPPYFORGE]","[EMCURE, AJANTPHARM]"
SOCIETE GENERALE,2026-06-03,5,"[LENSKART, IDEAFORGE, HOMEFIRST, GOKEX, ABFRL]",[LENSKART]
MINERVA,2026-06-03,3,"[BALUFORGE, YAAP, AVROIND]",[BALUFORGE]
FIDELITY,2026-06-03,2,"[GMRAIRPORT, ONESOURCE]",[GMRAIRPORT]
ICICI PRUDENTIAL,2026-06-02,4,"[ALKEM, INDOCO, AKUMS, GEOJITFSL]","[ALKEM, INDOCO]"
MORGAN STANLEY,2026-06-01,3,"[CGCL, NAZARA, RKFORGE]",[CGCL]
NOMURA,2026-05-25,2,"[PREMIERENE, FEDFINA]",[PREMIERENE]
HDFC,2026-05-08,3,"[LENSKART, RIIT, AAVAS]",[LENSKART]
BANDHAN,2026-05-07,1,[UDS],[UDS]
BNP PARIBAS,2026-05-05,4,"[IDEAFORGE, IRCTC, JUBLFOOD, BAJAJCON]",[IDEAFORGE]
NORGES BANK,2026-04-29,1,[EMCURE],[EMCURE]
NIPPON INDIA,2026-04-24,6,"[ORIENTELEC, SUDARSCHEM, DELHIVERY, ICRA, LANDMARK, TAJGVK]",[ORIENTELEC]
QUANT,2026-04-22,3,"[BLACKBUCK, MEGASTAR, SAWALIYA]",[BLACKBUCK]
TATA,2026-04-22,2,"[MUFIN, SBFC]",[MUFIN]
WHITEOAK CAPITAL,2026-04-15,1,[REPCOHOME],[REPCOHOME]
GOVERNMENT OF SINGAPORE,2026-02-27,1,[VMM],[VMM]
MONETARY AUTHORITY OF SINGAPORE,2026-02-27,1,[VMM],[VMM]
PPFAS,2026-02-24,2,"[EMBASSY, BIRET]",[EMBASSY]
BANK OF AMERICA,2026-02-16,3,"[ENGINERSIN, IBULLSLTD, MTARTECH]",[ENGINERSIN]
INVESCO,2025-12-15,1,[CORONA],[CORONA]
