ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at,weight,revenue_q1_fy26,net_profit_q1_fy26,operating_profit_q1_fy26,revenue_q4_fy26,net_profit_q4_fy26,operating_profit_q4_fy26,revenue_yoy_growth,profit_yoy_growth,operating_profit_yoy_growth,revenue_qoq_growth,profit_qoq_growth,operating_profit_qoq_growth,weighted_revenue,weighted_revenue_q1_fy26,weighted_revenue_q4_fy26,weighted_profit,weighted_profit_q1_fy26,weighted_profit_q4_fy26,weighted_operating_profit,weighted_operating_profit_q1_fy26,weighted_operating_profit_q4_fy26,index_name
AXISBANK.NS,Axis Bank Limited,Q1 FY27,2026-06-30,355420000000.0,,76700000000.0,24.54,0.0401217406572824,0.0987387164585136,0.0036639623135304,0.2215320910973084,DECLARED,2026-07-22T10:21:22.126184+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.03349665033496651,323480000000.0,62790000000.0,,341710000000.0,76420000000.0,,9.873871645851366,22.15320910973085,,4.0121740657282485,0.36639623135304894,,11905379462.053797,10835496450.354967,11446140385.961405,2569193080.6919312,2103254674.532547,2559814018.5981407,,,,NIFTY 50
BAJAJ-AUTO.NS,Bajaj Auto Limited,Q1 FY27,2026-06-30,216890000000.0,45280000000.0,31890000000.0,115.41,0.2162965455361148,0.6514886164623468,-0.0867697594501718,0.4429864253393665,DECLARED,2026-07-22T10:21:26.750006+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.009499050094990502,131330000000.0,22100000000.0,27930000000.0,178320000000.0,34920000000.0,30750000000.0,65.14886164623468,44.29864253393665,62.11958467597566,21.629654553611484,-8.676975945017182,47.2520325203252,2060248975.10249,1247510248.9751027,1693870612.9387062,302924707.5292471,209929007.0992901,331706829.31706834,430116988.30116993,265308469.15308473,292095790.4209579,NIFTY 50
HCLTECH.NS,HCL Technologies Limited,Q1 FY27,2026-06-30,345790000000.0,68700000000.0,46260000000.0,17.04,0.0175980695094317,0.1393785627203532,0.0302895322939866,0.2034339229968782,DECLARED,2026-07-22T10:23:12.24546+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.011498850114988501,303490000000.0,38440000000.0,60350000000.0,339810000000.0,44900000000.0,67120000000.0,13.937856272035324,20.343392299687828,13.835956917978459,1.7598069509431742,3.0289532293986636,2.3539928486293205,3976187381.2618737,3489786021.39786,3907424257.5742426,531936806.31936806,442015798.42015797,516298370.1629837,789971002.89971,693955604.439556,771802819.7180282,NIFTY 50
HDFCBANK.NS,HDFC Bank Limited,Q1 FY27,2026-06-30,905750000000.0,,203830000000.0,12.5,0.0389185841113991,0.0366593416655221,-0.032789218942773,0.1926857811585722,DECLARED,2026-07-22T10:23:24.167205+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.10838916108389161,873720000000.0,170900000000.0,,871820000000.0,210740000000.0,,3.6659341665522134,19.268578115857228,,3.8918584111399137,-3.278921894277308,,98173482651.73483,94701777822.21777,94495838416.15839,22092962703.729626,18523707629.237076,22841931806.819317,,,,NIFTY 50
HDFCLIFE.NS,HDFC Life Insurance Company Limited,Q1 FY27,2026-06-30,337590000000.0,5060000000.0,6110000000.0,2.81,0.6972850678733031,0.1458099989817737,0.2293762575452716,0.114963503649635,DECLARED,2026-07-22T10:23:28.806844+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.005699430056994301,294630000000.0,5480000000.0,4390000000.0,198900000000.0,4970000000.0,1080000000.0,14.580999898177375,11.496350364963504,15.261958997722095,69.72850678733032,22.937625754527165,368.51851851851853,1924070592.940706,1679223077.692231,1133616638.3361664,34823517.64823518,31232876.71232877,28326167.383261677,28839116.088391162,25020497.95020498,6155384.461553845,NIFTY 50
ICICIBANK.NS,ICICI Bank Limited,Q1 FY27,2026-06-30,522410000000.0,,162760000000.0,21.52,0.0533733919425737,0.0644050529747351,0.0379440086729162,0.1258992805755395,DECLARED,2026-07-22T10:23:54.643623+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.08349165083491651,490800000000.0,144560000000.0,,495940000000.0,156810000000.0,,6.440505297473513,12.589928057553957,,5.33733919425737,3.7944008672916265,,43616873312.66873,40977702229.77702,41406849315.0685,13589101089.891012,12069553044.695532,13092325767.423258,,,,NIFTY 50
JIOFIN.NS,Jio Financial Services Limited,Q1 FY27,2026-06-30,20040000000.0,13970000000.0,8300000000.0,1.26,0.9666339548577036,2.2745098039215685,2.051470588235294,1.553846153846154,DECLARED,2026-07-22T10:24:49.305908+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0073992600739926015,6120000000.0,3250000000.0,4570000000.0,10190000000.0,2720000000.0,6050000000.0,227.45098039215685,155.3846153846154,205.68927789934355,96.66339548577037,205.1470588235294,130.9090909090909,148281171.88281173,45283471.65283472,75398460.1539846,61413858.614138596,24047595.240475956,20125987.401259877,103367663.23367664,33814618.53814619,44765523.44765524,NIFTY 50
JSWSTEEL.NS,JSW Steel Limited,Q1 FY27,2026-06-30,473640000000.0,92850000000.0,46960000000.0,19.02,-0.0745603751465416,0.0977356479013604,-0.7559632074000936,1.1258488003621547,DECLARED,2026-07-22T10:25:05.118758+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.010898910108989104,431470000000.0,22090000000.0,74760000000.0,511800000000.0,192430000000.0,84640000000.0,9.773564790136046,112.58488003621548,24.197431781701447,-7.456037514654162,-75.59632074000936,9.699905482041588,5162159784.021599,4702552744.725529,5578062193.780623,511812818.7181283,240756924.3075693,2097277272.2727733,1011963803.6196383,814802519.7480254,922483751.6248378,NIFTY 50
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Q1 FY27,2026-06-30,183550000000.0,,54800000000.0,5.51,0.0296179951758568,0.0641813543599258,0.0105107873870551,0.2254025044722719,DECLARED,2026-07-22T10:25:12.088802+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.025097490250974904,172480000000.0,44720000000.0,,178270000000.0,54230000000.0,,6.418135435992579,22.54025044722719,,2.9617995175856846,1.0510787387055136,,4606644335.566443,4328815118.488152,4474129587.041296,1375342465.7534246,1122359764.0235977,1361036896.310369,,,,NIFTY 50
NESTLEIND.NS,Nestle India Limited,Q1 FY27,2026-06-30,63780000000.0,15220000000.0,9590000000.0,4.97,-0.0548310610551274,0.2515698587127158,-0.1368136813681368,0.482225656877898,DECLARED,2026-07-22T10:25:49.734061+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0093990600939906,50960000000.0,6470000000.0,10880000000.0,67480000000.0,11110000000.0,17680000000.0,25.156985871271587,48.222565687789796,39.88970588235294,-5.483106105512745,-13.681368136813681,-13.914027149321267,599472052.7947205,478976102.38976103,634248575.1424857,90136986.30136986,60811918.808119185,104423557.64423558,143053694.63053694,102261773.82261774,166175382.46175382,NIFTY 50
RELIANCE.NS,Reliance Industries Limited,Q1 FY27,2026-06-30,3094680000000.0,475170000000.0,231960000000.0,15.48,0.0524010487691245,0.2702272279503513,0.1266210112195832,-0.2464672059253484,DECLARED,2026-07-22T10:26:59.076911+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.08519148085191482,2436320000000.0,307830000000.0,429050000000.0,2940590000000.0,205890000000.0,441410000000.0,27.022722795035136,-24.64672059253484,10.74932991492833,5.240104876912456,12.662101121958328,7.648218209827598,263640371962.80374,207553708629.13712,250513216678.33218,19761015898.41016,26224493550.64494,17540073992.600742,40480435956.404366,36551404859.51405,37604371562.84372,NIFTY 50
TCS.NS,Tata Consultancy Services Limited,Q1 FY27,2026-06-30,722750000000.0,185560000000.0,134200000000.0,36.9,0.0223061472743217,0.1393193246843324,-0.026407428903076,0.0468835322568063,DECLARED,2026-07-22T10:28:06.626493+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0225977402259774,634370000000.0,128190000000.0,168750000000.0,706980000000.0,137840000000.0,192760000000.0,13.931932468433248,4.688353225680631,9.961481481481481,2.2306147274321764,-2.640742890307603,-3.735214774849554,16332516748.325167,14335328467.153284,15976150384.961504,3032616738.326167,2896804319.568043,3114872512.748725,4193236676.3323665,3813368663.1336865,4355940405.959404,NIFTY 50
TECHM.NS,Tech Mahindra Limited,Q1 FY27,2026-06-30,157120000000.0,27380000000.0,14860000000.0,14.95,0.0421862563014062,0.1768406860909295,0.0958702064896755,0.3162090345438441,DECLARED,2026-07-22T10:28:11.412455+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.008099190080991902,133510000000.0,11290000000.0,19350000000.0,150760000000.0,13560000000.0,25650000000.0,17.68406860909295,31.620903454384415,41.49870801033592,4.218625630140621,9.587020648967552,6.744639376218324,1272544745.5254476,1081322867.7132287,1221033896.6103392,120353964.60353966,91439856.01439857,109825017.49825019,221755824.41755825,156719328.0671933,207744225.5774423,NIFTY 50
ULTRACEMCO.NS,UltraTech Cement Limited,Q1 FY27,2026-06-30,246480000000.0,50150000000.0,26040000000.0,88.21,-0.0446141323307104,0.1585428907168037,-0.132,0.1724448446645655,DECLARED,2026-07-22T10:28:30.160106+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.012698730126987303,212750000000.0,22210000000.0,44060000000.0,257990000000.0,30000000000.0,55990000000.0,15.854289071680375,17.24448446645655,13.822060826146165,-4.46141323307105,-13.200000000000001,-10.430434006072513,3129983001.6998305,2701654834.5165486,3276145385.4614544,330674932.5067494,282038796.120388,380961903.80961907,636841315.8684132,559506049.3950605,711001899.8100191,NIFTY 50
WIPRO.NS,Wipro Limited,Q1 FY27,2026-06-30,244790000000.0,46330000000.0,33560000000.0,3.38,0.0100264069978544,0.1058956403885249,-0.0471323111868256,0.0059952038369304,DECLARED,2026-07-22T10:28:47.79042+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.005199480051994801,221350000000.0,33360000000.0,42330000000.0,242360000000.0,35220000000.0,49090000000.0,10.589564038852496,0.5995203836930456,9.449562957713207,1.0026406997854431,-4.713231118682567,-5.622326339376655,1272780721.9278073,1150904909.5090492,1260145985.40146,174494550.54494554,173454654.53454655,183125687.4312569,240891910.80891913,220093990.60093993,255242475.75242478,NIFTY 50
360ONE.NS,360 ONE WAM LIMITED,Q1 FY27,2026-06-30,12260000000.0,7730000000.0,3310000000.0,8.13,0.0995515695067264,0.3457738748627881,0.1453287197231834,0.1614035087719298,DECLARED,2026-07-22T10:20:13.024974+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.008299999999999998,9110000000.0,2850000000.0,5660000000.0,11150000000.0,2890000000.0,6630000000.0,34.577387486278816,16.140350877192983,36.57243816254417,9.955156950672645,14.53287197231834,16.59125188536953,101757999.99999999,75612999.99999999,92544999.99999999,27472999.999999996,23654999.999999996,23986999.999999996,64158999.999999985,46977999.99999999,55028999.99999999,NIFTY MIDCAP 100
ATGL.NS,Adani Total Gas Limited,Q1 FY27,2026-06-30,17540000000.0,2700000000.0,1420000000.0,1.29,0.1265253692999357,0.2719361856417694,-0.1547619047619047,-0.1393939393939394,DECLARED,2026-07-22T10:21:11.774679+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0056,13790000000.0,1650000000.0,2930000000.0,15570000000.0,1680000000.0,3010000000.0,27.19361856417694,-13.939393939393941,-7.849829351535837,12.652536929993577,-15.476190476190476,-10.299003322259136,98224000.0,77224000.0,87192000.0,7952000.0,9240000.0,9408000.0,15120000.0,16408000.0,16856000.0,NIFTY MIDCAP 100
FEDERALBNK.NS,The Federal Bank  Limited,Q1 FY27,2026-06-30,78620000000.0,,13020000000.0,5.09,-0.0106958600729835,0.099426653614879,-0.0646551724137931,0.3690851735015772,DECLARED,2026-07-22T10:22:50.519932+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.021899999999999996,71510000000.0,9510000000.0,,79470000000.0,13920000000.0,,9.942665361487904,36.90851735015773,,-1.0695860072983516,-6.4655172413793105,,1721777999.9999998,1566068999.9999998,1740392999.9999998,285137999.99999994,208268999.99999997,304847999.99999994,,,,NIFTY MIDCAP 100
GROWW.NS,Billionbrains Garage Ventures Limited,Q1 FY27,2026-06-30,15010000000.0,9700000000.0,7350000000.0,1.17,-0.0026578073089701,0.6603982300884956,0.0714285714285714,0.9444444444444444,DECLARED,2026-07-22T10:23:02.849442+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.0040999999999999995,9040000000.0,3780000000.0,4830000000.0,15050000000.0,6860000000.0,9380000000.0,66.03982300884957,94.44444444444444,100.82815734989647,-0.26578073089701,7.142857142857142,3.411513859275053,61540999.99999999,37063999.99999999,61704999.99999999,30134999.999999996,15497999.999999998,28125999.999999996,39769999.99999999,19802999.999999996,38457999.99999999,NIFTY MIDCAP 100
HAVELLS.NS,Havells India Limited,Q1 FY27,2026-06-30,65180000000.0,4660000000.0,2900000000.0,4.63,-0.0278896346010439,0.1948670944087992,-0.598893499308437,-0.1666666666666666,DECLARED,2026-07-22T10:23:07.563429+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.009799999999999998,54550000000.0,3480000000.0,5160000000.0,67050000000.0,7230000000.0,7290000000.0,19.486709440879928,-16.666666666666664,-9.689922480620156,-2.7889634601043998,-59.88934993084371,-36.07681755829904,638763999.9999999,534589999.9999999,657089999.9999999,28419999.999999993,34103999.99999999,70853999.99999999,45667999.99999999,50567999.99999999,71441999.99999999,NIFTY MIDCAP 100
ICICIAMC.NS,ICICI Prudential Asset Management Company Limited,Q1 FY27,2026-06-30,15642200000.0,12806500000.0,9646300000.0,,0.0311204276834035,,0.2635639621702339,,DECLARED,2026-07-13T16:36:12.569913+00:00,202701.0,announced_with_numbers,2026-07-22,2026-07-22T15:16:36.367879,0.003499999999999999,,,,15170100000.0,7634200000.0,10385700000.0,,,,3.1120427683403538,26.35639621702339,23.308972914680762,54747699.999999985,,53095349.999999985,33762049.99999999,,26719699.999999993,44822749.99999999,,36349949.99999999,NIFTY MIDCAP 100
