ticker,company_name,quarter_label,quarter_end_date,revenue,operating_profit,net_profit,eps,revenue_qoq,revenue_yoy,profit_qoq,profit_yoy,data_quality_status,fetched_at,quarter_sort_id,status,result_declared_date,updated_at
360ONE.NS,360 ONE WAM LIMITED,Q4 FY26,2026-03-31,11150000000.0,6630000000.0,2890000000.0,7.11,-0.0558848433530906,0.35809987819732036,-0.1162079510703364,0.156,DECLARED,2026-05-05T17:10:12.177932+00:00,202604.0,announced_with_numbers,2026-06-16,2026-06-16T18:10:17.290632
360ONE.NS,360 ONE WAM LIMITED,Q3 FY26,2025-12-31,11810000000.0,7250000000.0,3270000000.0,8.08,0.075591985428051,0.5542950396799284,0.0380952380952381,0.18276847397547655,ok,2026-05-05T17:10:11.946717+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q2 FY26,2025-09-30,10980000000.0,6970000000.0,3150000000.0,7.79,0.2052689352360044,0.27265983587556214,0.10526315789473684,0.2831479897348161,ok,2026-05-05T17:10:11.715161+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q1 FY26,2025-06-30,9110000000.0,5660000000.0,2850000000.0,7.04,0.10962241169305725,0.0725975463300916,0.14,0.16927873964060064,ok,2026-05-05T17:10:11.482612+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q4 FY25,2025-03-31,8210000000.0,4610000000.0,2500000000.0,6.35,0.08050484976902728,0.03695657665395206,-0.09574275689948276,0.0304604097110589,ok,2026-05-05T17:10:11.24088+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q3 FY25,2024-12-31,7598300000.0,3588000000.0,2764700000.0,7.26,-0.11930316658166813,0.20607936507936508,0.12619658641899872,0.43994791666666666,ok,2026-05-11T17:55:28.027936+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q2 FY25,2024-09-30,8627600000.0,3191000000.0,2454900000.0,6.75,0.01580050392069136,0.5686545454545454,0.007179781734635267,0.31983870967741934,ok,2026-05-11T17:55:28.614464+00:00,,,,
360ONE.NS,360 ONE WAM LIMITED,Q1 FY25,2024-06-30,8493400000.0,3446500000.0,2437400000.0,6.76,0.07275115568242099,0.48226876090750437,0.004657681051893986,0.32467391304347826,ok,2026-05-11T17:55:29.144114+00:00,,,,
3BBLACKBIO.BO,3B BlackBio Dx Limited,Q4 FY26,,,,,,,,,,DECLARED,,202604.0,announced,2026-06-16,2026-06-16T18:10:17.290632
3BBLACKBIO.BO,3B BlackBio Dx Limited,Q3 FY26,,,,,,,,,,missing,,,,,
3BBLACKBIO.BO,3B BlackBio Dx Limited,Q2 FY26,,,,,,,,,,missing,,,,,
3BBLACKBIO.BO,3B BlackBio Dx Limited,Q1 FY26,,,,,,,,,,missing,,,,,
3BBLACKBIO.BO,3B BlackBio Dx Limited,Q4 FY25,,,,,,,,,,missing,,,,,
