symbol,date,eps
20MICRONS,2022-12-31,2.09
20MICRONS,2023-03-31,2.64
20MICRONS,2023-06-30,4.23
20MICRONS,2023-09-30,4.54
20MICRONS,2023-12-31,3.25
20MICRONS,2024-03-31,3.87
20MICRONS,2024-06-30,5.06
20MICRONS,2024-09-30,4.65
20MICRONS,2024-12-31,3.65
20MICRONS,2025-03-31,4.31
20MICRONS,2025-06-30,4.78
20MICRONS,2025-09-30,4.93
20MICRONS,2025-12-31,4.24
21STCENMGM,2022-12-31,-3.87
21STCENMGM,2023-03-31,-7.47
21STCENMGM,2023-06-30,-2.64
21STCENMGM,2023-09-30,2.19
21STCENMGM,2023-12-31,15.27
21STCENMGM,2024-03-31,15.83
21STCENMGM,2024-06-30,23.29
21STCENMGM,2024-09-30,2.3
21STCENMGM,2024-12-31,-3.1
21STCENMGM,2025-03-31,-10.3
21STCENMGM,2025-06-30,2.2
21STCENMGM,2025-09-30,-7.51
21STCENMGM,2025-12-31,-5.34
360ONE,2023-03-31,4.37
360ONE,2023-06-30,5.15
360ONE,2023-09-30,5.2
360ONE,2023-12-31,5.36
360ONE,2024-03-31,6.76
360ONE,2024-06-30,6.72
360ONE,2024-09-30,6.73
360ONE,2024-12-31,7.12
360ONE,2025-03-31,6.35
360ONE,2025-06-30,7.04
360ONE,2025-09-30,7.79
360ONE,2025-12-31,8.08
360ONE,2026-03-31,7.11
3BBLACKBIO,2022-12-31,8.96
3BBLACKBIO,2023-03-31,7.72
3BBLACKBIO,2023-06-30,9.71
3BBLACKBIO,2023-09-30,10.46
3BBLACKBIO,2023-12-31,10.16
3BBLACKBIO,2024-03-31,10.33
3BBLACKBIO,2024-06-30,12.97
3BBLACKBIO,2024-09-30,17.07
3BBLACKBIO,2024-12-31,15.61
3BBLACKBIO,2025-03-31,9.79
3BBLACKBIO,2025-06-30,14.67
3BBLACKBIO,2025-09-30,17.14
3BBLACKBIO,2025-12-31,25.32
3IINFOLTD,2022-12-31,0.63
3IINFOLTD,2023-03-31,-1.32
3IINFOLTD,2023-06-30,-0.76
3IINFOLTD,2023-09-30,-7.48
3IINFOLTD,2023-12-31,-1.43
3IINFOLTD,2024-03-31,-4.83
