symbol,date,revenue,operating_profit,opm_percent,net_profit,eps
20MICRONS,2022-12-31,155.0,17.0,11.0,,2.09
20MICRONS,2023-03-31,173.0,21.0,12.0,,2.64
20MICRONS,2023-06-30,191.0,26.0,14.0,,4.23
20MICRONS,2023-09-30,200.0,30.0,15.0,,4.54
20MICRONS,2023-12-31,175.0,22.0,13.0,,3.25
20MICRONS,2024-03-31,212.0,27.0,12.0,,3.87
20MICRONS,2024-06-30,231.0,30.0,13.0,,5.06
20MICRONS,2024-09-30,240.0,31.0,13.0,,4.65
20MICRONS,2024-12-31,215.0,26.0,12.0,,3.65
20MICRONS,2025-03-31,227.0,29.0,13.0,,4.31
20MICRONS,2025-06-30,247.0,32.0,13.0,,4.78
20MICRONS,2025-09-30,231.0,32.0,14.0,,4.93
20MICRONS,2025-12-31,215.0,28.0,13.0,,4.24
21STCENMGM,2022-12-31,-3.6,-4.08,,,-3.87
21STCENMGM,2023-03-31,-0.35,-7.71,,,-7.47
21STCENMGM,2023-06-30,1.01,-2.76,-273.27,,-2.64
21STCENMGM,2023-09-30,2.79,2.31,82.8,,2.19
21STCENMGM,2023-12-31,16.58,16.03,96.68,,15.27
21STCENMGM,2024-03-31,18.18,17.38,95.6,,15.83
21STCENMGM,2024-06-30,108.58,27.05,24.91,,23.29
21STCENMGM,2024-09-30,14.01,4.14,29.55,,2.3
21STCENMGM,2024-12-31,-2.18,-2.76,,,-3.1
21STCENMGM,2025-03-31,-7.53,-8.95,,,-10.3
21STCENMGM,2025-06-30,3.33,2.31,69.37,,2.2
21STCENMGM,2025-09-30,-7.21,-7.88,,,-7.51
21STCENMGM,2025-12-31,-3.37,-5.6,,,-5.34
3IINFOLTD,2023-03-31,190.46,-17.0,-8.93,,-1.32
3IINFOLTD,2023-06-30,194.38,-3.5,-1.8,,-0.76
3IINFOLTD,2023-09-30,210.28,34.78,16.54,,-7.48
3IINFOLTD,2023-12-31,212.18,-8.82,-4.16,,-1.43
3IINFOLTD,2024-03-31,197.04,-37.87,-19.22,,-4.83
3IINFOLTD,2024-06-30,179.75,-1.02,-0.57,,-0.43
3IINFOLTD,2024-09-30,177.6,0.77,0.43,,-0.48
3IINFOLTD,2024-12-31,181.41,23.12,12.74,,0.83
3IINFOLTD,2025-03-31,187.0,8.35,4.47,,1.3
3IINFOLTD,2025-06-30,170.55,-3.46,-2.03,,0.37
3IINFOLTD,2025-09-30,174.89,-5.29,-3.02,,0.89
3IINFOLTD,2025-12-31,172.14,0.38,0.22,,0.1
3IINFOLTD,2026-03-31,175.78,-9.63,-5.48,,0.35
3PLAND,2022-12-31,0.48,0.39,81.25,,0.16
3PLAND,2023-03-31,0.47,0.38,80.85,,0.15
3PLAND,2023-06-30,0.47,0.37,78.72,,0.14
3PLAND,2023-09-30,1.31,1.09,83.21,,0.44
3PLAND,2023-12-31,0.89,0.54,60.67,,0.22
3PLAND,2024-03-31,0.89,0.5,56.18,,0.2
3PLAND,2024-06-30,0.89,0.52,58.43,,0.21
3PLAND,2024-09-30,1.74,1.29,74.14,,0.53
3PLAND,2024-12-31,0.93,0.53,56.99,,0.21
3PLAND,2025-03-31,0.91,0.45,49.45,,0.21
