symbol,price_high_limit
WANBURY,301.8814
HNDFDS,572.5814
PAYTM,1390.6901
KAJARIACER,1239.0645
GRAVITA,1846.3
EPACKPEB,278.8
SURYODAY,190.78
KSL,977.7667
PONNIERODE,331.8
LENSKART,543.9
SSWL,255.6
SUMEETINDS,32.99
STOVEKRAFT,800.0
MMFL,522.2187
PANACHE,454.05
NAZARA,311.0
BLUESTONE,596.0
LLOYDSENGG,91.99
METROPOLIS,573.767
MOSCHIP,236.7
UJJIVANSFB,68.0
MOREPENLAB,63.4
SRGHFL,311.0
RANEHOLDIN,1795.0
ADANIENT,3245.0
DIAMONDYD,1223.4
CAPLIPOINT,2675.0
COMSYN,199.9
GUFICBIO,409.9
AJANTPHARM,3506.8999
WELENT,630.5949
SAMBHV,124.09
FILATEX,66.1
PRUDENT,3156.2377
OBEROIRLTY,1983.9545
OMAXE,93.7
KSB,973.85
WIPL,178.8
TRAVELFOOD,1384.0
VARROC,683.3
SUPRAJIT,515.8535
NEULANDLAB,19747.0
LALPATHLAB,1793.8781
RPGLIFE,2945.5459
HARSHA,441.4097
AVADHSUGAR,553.7233
KAPSTON,433.5
CHOICEIN,860.5
ESAFSFB,37.2
GEOJITFSL,86.1669
ALIVUS,1218.6166
PRESTIGE,1811.9144
TIRUPATIFL,72.88
MITCON,93.18
FAZE3Q,629.55
SKIPPER,593.0
VISAKAIND,91.4
OFSS,12613.8062
KPIL,1467.8418
ICIL,463.8
