symbol,shortName,longName,industry,sector,marketCap,country,website,longBusinessSummary,fullTimeEmployees,sharesOutstanding,floatShares,heldPercentInsiders,heldPercentInstitutions,earningsQuarterlyGrowth,revenueGrowth
GREENPANEL.NS,GREENPANEL INDUSTRIES LTD,Greenpanel Industries Limited,Lumber & Wood Production,Basic Materials,23812839424.0,India,https://www.greenpanel.com,"Greenpanel Industries Limited engages in the manufacturing and sale of plywood, medium density fibre board (MDF), and allied products under the Greenpanel brand name in India and internationally. The company provides high-density fibreboard, fire-resistant, pre-laminated, and veneered MDF, wooden flooring, block boards, and doors. Greenpanel Industries Limited was incorporated in 2017 and is based in Gurugram, India.",1698.0,122627395.0,57773023.0,0.53165,0.30352,0.204,0.158
SUMEETINDS.NS,SUMEET IND LIMITED,Sumeet Industries Limited,Textile Manufacturing,Consumer Cyclical,15468711936.0,India,https://www.sumeetindustries.com,"Sumeet Industries Limited manufactures and sells polyester chips and polyester yarns in India. The company provides pet chips, polyester and textile grade chips, as well as partially oriented, fully drawn, polyester texturized, microfilament, carpet, and dope-dyed black yarns. It exports its products to Egypt, Saudi Arabia, China, Argentina, Poland, Portugal, Morocco, Columbia, Bangladesh, Russia, Ethiopia, Mexico, Nepal, Brazil, Peru, Algeria, Thailand, the United States, Singapore, and Turkey, etc. The company was formerly known as Sumeet Synthetics Limited and changed its name to Sumeet Industries Limited in 1996. Sumeet Industries Limited was incorporated in 1988 and is based in Surat, India.",621.0,526325680.0,1859005.0,0.9179,0.0,-0.907,0.06
ARIHANTSUP.NS,ARIHANT SUPERSTRUCT LTD,Arihant Superstructures Limited,Real Estate - Development,Real Estate,9166647296.0,India,https://www.asl.net.in,"Arihant Superstructures Limited operates as a real estate development company in India. The company develops residential properties, including residences and apartments. The company was formerly known as Shaktiman Constructions Limited and changed its name to Arihant Superstructures Limited in August 2009. Arihant Superstructures Limited was incorporated in 1983 and is based in Navi Mumbai, India.",166.0,43249991.0,14575400.0,0.78580004,0.0,-0.605,-0.164
TEXINFRA.NS,TEXMACO INFRA & HOLDG LTD,Texmaco Infrastructure & Holdings Limited,Real Estate Services,Real Estate,11360230400.0,India,https://www.texinfra.in,"Texmaco Infrastructure & Holdings Limited engages in the business of real estate, hydro power generation, and job work services in India. It operates a mini hydel power project located in Neora, West Bengal. Texmaco Infrastructure & Holdings Limited was formerly known as Texmaco Limited and changed its name to Texmaco Infrastructure & Holdings Limited in February 2012. The company was incorporated in 1939 and is based in Delhi, India.",28.0,127426590.0,32709433.0,0.68586,0.012999999,,-0.039
ZYDUSLIFE.NS,ZYDUS LIFESCIENCES LTD,Zydus Lifesciences Limited,Drug Manufacturers - Specialty & Generic,Healthcare,896345374720.0,India,https://zyduslife.com,"Zydus Lifesciences Limited engages in the research, development, production, marketing, distribution, and sale of pharmaceutical products in India, the United States, and internationally. It operates through two segments: Pharmaceuticals and Consumer Products. It offers active pharmaceutical ingredients, finished dosage formulations, generics, specialty, biosimilars, vaccines, novel products, consumer wellness and animal health products under the Everyuth, Nutralite, SugarFree, Complan, Glucon-D, and Nycil brands. The company also provides a pipeline of biological products in the areas of oncology, autoimmune disease, nephrology, inflammation, rheumatology, hepatology, and infectious illnesses, as well as in the therapeutic areas of pain management, neurology, metabolic disorder, and neurology. In addition, it engages in the investment, animal health and veterinary, pharmacy retail, and manpower supply and administration activities. Further, it develops and markets products for orthopaedic surgery, including pathologies affecting the hip and knee. The company was formerly known as Cadila Healthcare Limited and changed its name to Zydus Lifesciences Limited in February 2022. Zydus Lifesciences Limited was founded in 1952 and is headquartered in Ahmedabad, India. Zydus Lifesciences Limited is a subsidiary of Zydus Family Trust.",27917.0,1006233990.0,249470290.0,0.7517,0.1489,0.018,0.303
TANLA.NS,TANLA PLATFORMS LIMITED,Tanla Platforms Limited,Software - Application,Technology,55916036096.0,India,https://www.tanla.com,"Tanla Platforms Limited, together with its subsidiaries, provides cloud communication platforms as a service solution to enterprises in India and internationally. It operates Wisely Platform, an API-led intelligent platform-of-platforms, which serves as a unified hub for digital interactions to craft solutions and provide experiences in the realm of communication, privacy, and security. The company also offers Wisely Anti-Phishing Platform against SMS phishing; Trubloq for protecting customers from spam; Wisely Consent, a consent management solution that ensures compliance for enterprise customer communications on SMS and voice channels; messaging as a platform, which deliver business messaging with ai-powered automation; and Surbo that elevates customer engagement with surbo's conversation ai. In addition, it provides Wise Albert for digital interactions; and email, RCS business messaging, SMS, Truecaller business messaging, voice, and WhatsApp business API solutions. The company was formerly known as Tanla Solutions Limited and changed its name to Tanla Platforms Limited in October 2020. Tanla Platforms Limited was incorporated in 1995 and is headquartered in Hyderabad, India.",992.0,131997759.0,58781814.0,0.55694,0.049250003,0.108,0.121
SHIVAMILLS.NS,SHIVA MILLS LIMITED,Shiva Mills Limited,Textile Manufacturing,Consumer Cyclical,458171616.0,India,https://www.shivamills.com,"Shiva Mills Limited engages in the manufacturing and marketing of cotton yarns in India. The company operates spinning unit and owns 22 windmills with a total installed capacity of 10.65 MW. It exports its products. The company was formerly known as STYL Textile Ventures Limited and changed its name to Shiva Mills Limited in March 2017. Shiva Mills Limited was incorporated in 2015 and is based in Coimbatore, India.",645.0,8641808.0,1948040.0,0.76424,0.0,,-0.048
SAMBHV.NS,SAMBHV STEEL TUBES LTD,,Steel,Basic Materials,27895623680.0,India,https://www.sambhv.com,"Sambhv Steel Tubes Limited manufactures and sells electric resistance welded steel pipes, structural tubes, and stainless-steel coils in India. The company provides mild steel hot-rolled coil, cold rolled coil, and galvanized coils; ERW steel tubes and pipes, including rectangular tubes, round tubes, and square tubes; cold rolled full hard pipes, comprising rectangular pipes, round pipes, and square pipes; and steel door frames, which comprise single, double, and four door frames. It also offers stainless-steel hot-rolled, hot rolled annealed and pickled, and cold rolled coils; superior galvanised and pre-galvanised pipes, such as Gi rectangular, round, and square; and intermediate products, which includes sponge iron and stainless-steel billets/blooms/slabs. In addition, the company operates waste heat recovery boiler and atmospheric fluidized bed combustion boiler-based power plants, as well as generates the electricity. The company was incorporated in 2017 and is based in Raipur, India.",1774.0,294671429.0,79313436.0,0.68601996,0.02497,1.309,0.596
GLOBALE.NS,GLOBALE TESSILE LIMITED,Globale Tessile Limited,Textile Manufacturing,Consumer Cyclical,113229000.0,India,https://www.mahalaxmigroup.net/GTL,"Globale Tessile Limited manufactures and trades in traditional textiles in India. It offers shirting, suiting and value fabrics, apparel and home textiles, and catering. The company was founded in 1970 and is based in Ahmedabad, India.",11.0,10620275.0,2728992.0,0.69948,0.0,,-0.776
SANOFI.NS,SANOFI INDIA LIMITED,Sanofi India Limited,Drug Manufacturers - General,Healthcare,78069858304.0,India,https://www.sanofi.com/en/india/investors,"Sanofi India Limited manufactures and trades in drugs and pharmaceutical products in India, Singapore and internationally. The company provides pharmaceutical products in various therapeutic areas, such as diabetes, cardiology, thrombosis, infections, epilepsy, anti-infectives, and central nervous system, as well as allergy, pain care, digestive, and nutritional health under the Lantus, Toujeo, Soliqua, Clexane, Amaryl, Cardace, Lasix, Lasilactone, Glimepiride, Cetapin, Targocid, Frisium, Targocio, Combiflam, DePura, Allegra, Baralgan, BUSCOGAST, Dulcoflex, Enterogermina, Novalgin, and Avil brands through independent distributors. It also exports its products to approximately 24 countries. The company was formerly known as Aventis Pharma Limited and changed its name to Sanofi India Limited in May 2012. The company was incorporated in 1956 and is headquartered in Mumbai, India. Sanofi India Limited is a subsidiary of Hoechst GmbH.",1225.0,23030622.0,9075538.0,0.60605,0.24404,-0.324,-0.185
