index,symbol,average,category
NIFTY 200,HDFCBANK,6.99,Broad Market
NIFTY 200,RELIANCE,5.49,Broad Market
NIFTY 200,ICICIBANK,5.38,Broad Market
NIFTY 200,BHARTIARTL,3.31,Broad Market
NIFTY 200,LT,2.77,Broad Market
NIFTY 200,SBIN,2.65,Broad Market
NIFTY 200,TVSMOTOR,2.4,Broad Market
NIFTY 200,INFY,2.35,Broad Market
NIFTY 200,AXISBANK,2.16,Broad Market
NIFTY 200,ITC,1.71,Broad Market
NIFTY 200,KOTAKBANK,1.62,Broad Market
NIFTY 200,M&M,1.61,Broad Market
NIFTY 200,TCS,1.46,Broad Market
NIFTY 200,BAJFINANCE,1.44,Broad Market
NIFTY 200,HINDUNILVR,1.19,Broad Market
NIFTY 200,NTPC,1.13,Broad Market
NIFTY 200,ETERNAL,1.09,Broad Market
NIFTY 200,SUNPHARMA,1.08,Broad Market
NIFTY 200,TITAN,1.06,Broad Market
NIFTY 200,TATASTEEL,1.04,Broad Market
NIFTY 200,MARUTI,0.99,Broad Market
NIFTY 200,SHRIRAMFIN,0.97,Broad Market
NIFTY 200,BEL,0.91,Broad Market
NIFTY 200,HINDALCO,0.91,Broad Market
NIFTY 200,BSE,0.87,Broad Market
NIFTY 200,POWERGRID,0.84,Broad Market
NIFTY 200,ULTRACEMCO,0.82,Broad Market
NIFTY 200,HCLTECH,0.74,Broad Market
NIFTY 200,VEDL,0.74,Broad Market
NIFTY 200,ADANIPORTS,0.71,Broad Market
NIFTY 200,JSWSTEEL,0.7,Broad Market
NIFTY 200,ONGC,0.68,Broad Market
NIFTY 200,ASIANPAINT,0.65,Broad Market
NIFTY 200,COALINDIA,0.62,Broad Market
NIFTY 200,GRASIM,0.62,Broad Market
NIFTY 200,BAJAJ-AUTO,0.61,Broad Market
NIFTY 200,BAJAJFINSV,0.6,Broad Market
NIFTY 200,NESTLEIND,0.6,Broad Market
NIFTY 200,INDIGO,0.59,Broad Market
NIFTY 200,EICHERMOT,0.57,Broad Market
NIFTY 200,TRENT,0.55,Broad Market
NIFTY 200,ADANIPOWER,0.54,Broad Market
NIFTY 200,TECHM,0.52,Broad Market
NIFTY 200,TMCV,0.51,Broad Market
NIFTY 200,DIVISLAB,0.48,Broad Market
NIFTY 200,DRREDDY,0.48,Broad Market
NIFTY 200,HAL,0.48,Broad Market
NIFTY 200,JIOFIN,0.48,Broad Market
NIFTY 200,SBILIFE,0.47,Broad Market
NIFTY 200,APOLLOHOSP,0.46,Broad Market
NIFTY 200,TATAPOWER,0.45,Broad Market
NIFTY 200,MAXHEALTH,0.44,Broad Market
NIFTY 200,TATACONSUM,0.44,Broad Market
NIFTY 200,CIPLA,0.43,Broad Market
NIFTY 200,MCX,0.43,Broad Market
NIFTY 200,TMPV,0.43,Broad Market
NIFTY 200,FEDERALBNK,0.42,Broad Market
NIFTY 200,ADANIENT,0.41,Broad Market
NIFTY 200,CUMMINSIND,0.41,Broad Market
NIFTY 200,SUZLON,0.41,Broad Market
NIFTY 200,VBL,0.41,Broad Market
NIFTY 200,PFC,0.4,Broad Market
NIFTY 200,BRITANNIA,0.39,Broad Market
NIFTY 200,DMART,0.39,Broad Market
NIFTY 200,CHOLAFIN,0.38,Broad Market
NIFTY 200,HEROMOTOCO,0.38,Broad Market
NIFTY 200,HDFCLIFE,0.37,Broad Market
NIFTY 200,BPCL,0.36,Broad Market
NIFTY 200,AUBANK,0.34,Broad Market
NIFTY 200,INDUSINDBK,0.34,Broad Market
NIFTY 200,WIPRO,0.34,Broad Market
NIFTY 200,CGPOWER,0.33,Broad Market
NIFTY 200,GVT&D,0.33,Broad Market
NIFTY 200,HDFCAMC,0.33,Broad Market
NIFTY 200,INDHOTEL,0.33,Broad Market
NIFTY 200,LUPIN,0.33,Broad Market
NIFTY 200,POLICYBZR,0.33,Broad Market
NIFTY 200,IOC,0.32,Broad Market
NIFTY 200,MOTHERSON,0.32,Broad Market
NIFTY 200,INDUSTOWER,0.31,Broad Market
NIFTY 200,BHARATFORG,0.3,Broad Market
NIFTY 200,BHEL,0.3,Broad Market
NIFTY 200,PERSISTENT,0.3,Broad Market
NIFTY 200,ADANIENSOL,0.29,Broad Market
NIFTY 200,BANKBARODA,0.29,Broad Market
NIFTY 200,FORTIS,0.29,Broad Market
NIFTY 200,ASHOKLEY,0.28,Broad Market
NIFTY 200,PAYTM,0.28,Broad Market
NIFTY 200,CANBK,0.27,Broad Market
NIFTY 200,DIXON,0.27,Broad Market
NIFTY 200,IDFCFIRSTB,0.27,Broad Market
NIFTY 200,JINDALSTEL,0.27,Broad Market
NIFTY 200,RECLTD,0.27,Broad Market
NIFTY 200,BAJAJHLDNG,0.26,Broad Market
NIFTY 200,GAIL,0.26,Broad Market
NIFTY 200,GODREJCP,0.26,Broad Market
NIFTY 200,TORNTPHARM,0.26,Broad Market
NIFTY 200,ICICIGI,0.25,Broad Market
NIFTY 200,LAURUSLABS,0.25,Broad Market
NIFTY 200,MFSL,0.25,Broad Market
NIFTY 200,PIDILITIND,0.25,Broad Market
NIFTY 200,POLYCAB,0.25,Broad Market
NIFTY 200,ADANIGREEN,0.24,Broad Market
NIFTY 200,COFORGE,0.24,Broad Market
NIFTY 200,LTM,0.24,Broad Market
NIFTY 200,MARICO,0.24,Broad Market
NIFTY 200,POWERINDIA,0.24,Broad Market
NIFTY 200,UNITDSPR,0.24,Broad Market
NIFTY 200,AUROPHARMA,0.23,Broad Market
NIFTY 200,NATIONALUM,0.23,Broad Market
NIFTY 200,NAUKRI,0.23,Broad Market
NIFTY 200,SWIGGY,0.23,Broad Market
NIFTY 200,ABB,0.22,Broad Market
NIFTY 200,DLF,0.22,Broad Market
NIFTY 200,MUTHOOTFIN,0.22,Broad Market
NIFTY 200,NYKAA,0.22,Broad Market
NIFTY 200,PNB,0.22,Broad Market
NIFTY 200,SOLARINDS,0.22,Broad Market
NIFTY 200,APLAPOLLO,0.21,Broad Market
NIFTY 200,GLENMARK,0.21,Broad Market
NIFTY 200,HINDPETRO,0.21,Broad Market
NIFTY 200,SRF,0.21,Broad Market
NIFTY 200,UPL,0.21,Broad Market
NIFTY 200,GMRAIRPORT,0.2,Broad Market
NIFTY 200,SHREECEM,0.2,Broad Market
NIFTY 200,SIEMENS,0.2,Broad Market
NIFTY 200,VOLTAS,0.2,Broad Market
NIFTY 200,YESBANK,0.2,Broad Market
NIFTY 200,BOSCHLTD,0.19,Broad Market
NIFTY 200,HAVELLS,0.19,Broad Market
NIFTY 200,INDIANB,0.19,Broad Market
NIFTY 200,PHOENIXLTD,0.19,Broad Market
NIFTY 200,TIINDIA,0.19,Broad Market
NIFTY 200,UNIONBANK,0.19,Broad Market
NIFTY 200,WAAREEENER,0.19,Broad Market
NIFTY 200,ALKEM,0.18,Broad Market
NIFTY 200,JSWENERGY,0.18,Broad Market
NIFTY 200,KEI,0.18,Broad Market
NIFTY 200,MPHASIS,0.18,Broad Market
NIFTY 200,NMDC,0.18,Broad Market
NIFTY 200,ENRIN,0.17,Broad Market
NIFTY 200,360ONE,0.16,Broad Market
NIFTY 200,ABCAPITAL,0.16,Broad Market
NIFTY 200,AMBUJACEM,0.16,Broad Market
NIFTY 200,COLPAL,0.16,Broad Market
NIFTY 200,GODREJPROP,0.16,Broad Market
NIFTY 200,HINDZINC,0.16,Broad Market
NIFTY 200,IDEA,0.16,Broad Market
NIFTY 200,NHPC,0.16,Broad Market
NIFTY 200,OIL,0.16,Broad Market
NIFTY 200,RADICO,0.16,Broad Market
NIFTY 200,SAIL,0.16,Broad Market
NIFTY 200,VMM,0.16,Broad Market
NIFTY 200,BIOCON,0.15,Broad Market
NIFTY 200,DABUR,0.15,Broad Market
NIFTY 200,HYUNDAI,0.15,Broad Market
NIFTY 200,MANKIND,0.15,Broad Market
NIFTY 200,MRF,0.15,Broad Market
NIFTY 200,PIIND,0.15,Broad Market
NIFTY 200,BLUESTARCO,0.14,Broad Market
NIFTY 200,COROMANDEL,0.14,Broad Market
NIFTY 200,LODHA,0.14,Broad Market
NIFTY 200,LTF,0.14,Broad Market
NIFTY 200,PAGEIND,0.14,Broad Market
NIFTY 200,PRESTIGE,0.14,Broad Market
NIFTY 200,SUPREMEIND,0.14,Broad Market
NIFTY 200,OFSS,0.13,Broad Market
NIFTY 200,ZYDUSLIFE,0.13,Broad Market
NIFTY 200,IRFC,0.12,Broad Market
NIFTY 200,M&MFIN,0.12,Broad Market
NIFTY 200,MAZDOCK,0.12,Broad Market
NIFTY 200,OBEROIRLTY,0.12,Broad Market
NIFTY 200,ASTRAL,0.11,Broad Market
NIFTY 200,ATGL,0.11,Broad Market
NIFTY 200,JUBLFOOD,0.11,Broad Market
NIFTY 200,SBICARD,0.11,Broad Market
NIFTY 200,TATACOMM,0.11,Broad Market
NIFTY 200,BANKINDIA,0.1,Broad Market
NIFTY 200,CONCOR,0.1,Broad Market
NIFTY 200,IRCTC,0.1,Broad Market
NIFTY 200,LICHSGFIN,0.1,Broad Market
NIFTY 200,RVNL,0.1,Broad Market
NIFTY 200,EXIDEIND,0.09,Broad Market
NIFTY 200,KALYANKJIL,0.09,Broad Market
NIFTY 200,LENSKART,0.09,Broad Market
NIFTY 200,PATANJALI,0.09,Broad Market
NIFTY 200,BDL,0.08,Broad Market
NIFTY 200,COCHINSHIP,0.08,Broad Market
NIFTY 200,GROWW,0.08,Broad Market
NIFTY 200,LGEINDIA,0.08,Broad Market
NIFTY 200,TATACAP,0.08,Broad Market
NIFTY 200,TATAELXSI,0.08,Broad Market
NIFTY 200,ICICIAMC,0.07,Broad Market
NIFTY 200,KPITTECH,0.07,Broad Market
NIFTY 200,MOTILALOFS,0.07,Broad Market
NIFTY 200,PREMIERENE,0.07,Broad Market
NIFTY 200,HUDCO,0.06,Broad Market
NIFTY 200,IREDA,0.06,Broad Market
NIFTY 200,TATAINVEST,0.06,Broad Market
NIFTY 200,GODFRYPHLP,0.05,Broad Market
NIFTY 50,HDFCBANK,10.84,Broad Market
NIFTY 50,RELIANCE,8.52,Broad Market
NIFTY 50,ICICIBANK,8.35,Broad Market
