date,gt_regime
2025-01-01,RISK_OFF
2025-01-02,RISK_OFF
2025-01-03,RISK_OFF
2025-01-06,RISK_OFF
2025-01-07,RISK_OFF
2025-01-08,RISK_OFF
2025-01-09,RISK_OFF
2025-01-10,RISK_OFF
2025-01-13,RISK_OFF
2025-01-14,RISK_OFF
2025-01-15,RISK_OFF
2025-01-16,RISK_OFF
2025-01-17,RISK_OFF
2025-01-20,RISK_OFF
2025-01-21,RISK_OFF
2025-01-22,RISK_OFF
2025-01-23,RISK_OFF
2025-01-24,RISK_OFF
2025-01-27,RISK_OFF
2025-01-28,RISK_OFF
2025-01-29,RISK_OFF
2025-01-30,RISK_OFF
2025-01-31,RISK_OFF
2025-02-01,RISK_OFF
2025-02-03,RISK_OFF
2025-02-04,RISK_OFF
2025-02-05,RISK_OFF
2025-02-06,RISK_OFF
2025-02-07,RISK_OFF
2025-02-10,RISK_OFF
2025-02-11,RISK_OFF
2025-02-12,RISK_OFF
2025-02-13,RISK_OFF
2025-02-14,RISK_OFF
2025-02-17,RISK_OFF
2025-02-18,RISK_OFF
2025-02-19,RISK_OFF
2025-02-20,RISK_OFF
2025-02-21,RISK_OFF
2025-02-24,RISK_OFF
2025-02-25,RISK_OFF
2025-02-27,RISK_OFF
2025-02-28,RISK_OFF
2025-03-03,RISK_OFF
2025-03-04,RISK_OFF
2025-03-05,RISK_OFF
2025-03-06,RISK_OFF
2025-03-07,RISK_OFF
2025-03-10,RISK_OFF
2025-03-11,RISK_OFF
2025-03-12,RISK_OFF
2025-03-13,RISK_OFF
2025-03-17,RISK_OFF
2025-03-18,RISK_OFF
2025-03-19,RISK_OFF
2025-03-20,RISK_OFF
2025-03-21,RISK_OFF
2025-03-24,RISK_OFF
2025-03-25,RISK_OFF
2025-03-26,RISK_OFF
2025-03-27,RISK_OFF
2025-03-28,RISK_OFF
2025-04-01,RISK_OFF
2025-04-02,RISK_OFF
2025-04-03,RISK_OFF
2025-04-04,RISK_OFF
2025-04-07,RISK_OFF
2025-04-08,RISK_OFF
2025-04-09,RISK_OFF
2025-04-11,RISK_OFF
2025-04-15,RISK_OFF
2025-04-16,RISK_OFF
2025-04-17,RISK_OFF
2025-04-21,RISK_ON
2025-04-22,RISK_ON
2025-04-23,RISK_ON
2025-04-24,RISK_ON
2025-04-25,RISK_ON
2025-04-28,RISK_ON
2025-04-29,RISK_ON
2025-04-30,RISK_ON
2025-05-02,RISK_ON
2025-05-05,RISK_ON
2025-05-06,RISK_ON
2025-05-07,RISK_ON
2025-05-08,RISK_ON
2025-05-09,RISK_ON
2025-05-12,RISK_ON
2025-05-13,RISK_ON
2025-05-14,RISK_ON
2025-05-15,RISK_ON
2025-05-16,RISK_ON
2025-05-19,RISK_ON
2025-05-20,RISK_ON
2025-05-21,RISK_ON
2025-05-22,RISK_ON
2025-05-23,RISK_ON
2025-05-26,RISK_ON
2025-05-27,RISK_ON
2025-05-28,RISK_ON
2025-05-29,RISK_ON
2025-05-30,RISK_ON
2025-06-02,RISK_ON
2025-06-03,RISK_ON
2025-06-04,RISK_ON
2025-06-05,RISK_ON
2025-06-06,RISK_ON
2025-06-09,RISK_ON
2025-06-10,RISK_ON
2025-06-11,RISK_ON
2025-06-12,RISK_ON
2025-06-13,RISK_ON
2025-06-16,RISK_ON
2025-06-17,RISK_ON
2025-06-18,RISK_ON
2025-06-19,RISK_ON
2025-06-20,RISK_ON
2025-06-23,RISK_ON
2025-06-24,RISK_ON
2025-06-25,RISK_ON
2025-06-26,RISK_ON
2025-06-27,RISK_ON
2025-06-30,RISK_ON
2025-07-01,RISK_ON
2025-07-02,RISK_ON
2025-07-03,RISK_ON
2025-07-04,RISK_ON
2025-07-07,RISK_ON
2025-07-08,RISK_ON
2025-07-09,RISK_ON
2025-07-10,RISK_ON
2025-07-11,RISK_ON
2025-07-14,RISK_ON
2025-07-15,RISK_ON
2025-07-16,RISK_ON
2025-07-17,RISK_ON
2025-07-18,RISK_ON
2025-07-21,RISK_ON
2025-07-22,RISK_ON
2025-07-23,RISK_ON
2025-07-24,RISK_ON
2025-07-25,NEUTRAL
2025-07-28,NEUTRAL
2025-07-29,NEUTRAL
2025-07-30,NEUTRAL
2025-07-31,NEUTRAL
2025-08-01,NEUTRAL
2025-08-04,NEUTRAL
2025-08-05,NEUTRAL
2025-08-06,NEUTRAL
2025-08-07,NEUTRAL
2025-08-08,NEUTRAL
2025-08-11,NEUTRAL
2025-08-12,NEUTRAL
