feature,null_pct,unique_values,dominant_pct,variance,is_dead_feature,is_near_constant
Daily_Support_Break,0.0,1,1.0,0.0,True,True
Daily_Resistance_Break,0.0,1,1.0,0.0,True,True
Weekly_Support_Break,0.0,1,1.0,0.0,True,True
Weekly_Resistance_Break,0.0,1,1.0,0.0,True,True
Monthly_Support_Break,0.0,1,1.0,0.0,True,True
Monthly_Resistance_Break,0.0,1,1.0,0.0,True,True
Trendline_Support_Break,0.0,2,0.8330733229329174,0.13911641912418593,False,False
Trendline_Resistance_Break,0.0,2,0.8190327613104524,0.14827592713540771,False,False
EMA50_Above_EMA200,0.0,2,0.7769110764430577,0.17338787972119743,False,False
Above_EMA200,0.0,2,0.7550702028081123,0.18501134895181215,False,False
days_below_ema200,0.0,100,0.7550702028081123,289.3776615559355,False,False
Above_EMA50,0.0,2,0.6010140405616224,0.2398897243443386,False,False
days_below_ema50,0.0,65,0.6010140405616224,112.91335460285363,False,False
days_above_ema50,0.0,136,0.39898595943837756,922.8831602737386,False,False
days_above_ema200,0.0,430,0.24492979719188768,12734.848142411845,False,False
Daily_Resistance_Touch_Count,0.0,23,0.20358814352574103,9.18073167717969,False,False
Daily_Support_Touch_Count,0.0,18,0.20085803432137286,6.953088412260642,False,False
days_in_current_regime,0.0,49,0.18525741029641185,50.85552820864297,False,False
Weekly_Support_Touch_Count,0.0,20,0.17004680187207488,12.485751419912432,False,False
Monthly_Support_Touch_Count,0.0,22,0.14586583463338534,18.135856753037192,False,False
Weekly_Resistance_Touch_Count,0.0,25,0.13650546021840873,19.48453587382668,False,False
persistence_score,0.0,797,0.12831513260530422,586.3916253479665,False,False
Monthly_Resistance_Touch_Count,0.0,29,0.12168486739469579,32.40157744038985,False,False
Nearest_Monthly_Support,0.0,274,0.033541341653666144,108376445.61306638,False,False
Dist_Monthly_Resistance,0.0,2291,0.03159126365054602,0.0001387101183778366,False,False
Dist_Weekly_Resistance,0.0,2323,0.02769110764430577,0.00014449429149714993,False,False
Nearest_Monthly_Resistance,0.0,292,0.02691107644305772,111088324.54501039,False,False
Nearest_Weekly_Support,0.0,288,0.0265210608424337,108303420.54247102,False,False
Nearest_Daily_Support,0.0,296,0.0218408736349454,107964009.35645327,False,False
Dist_Monthly_Support,0.0,2328,0.0218408736349454,0.0001926545475657035,False,False
Nearest_Weekly_Resistance,0.0,303,0.01950078003120125,111266378.70465079,False,False
Dist_Weekly_Support,0.0,2361,0.01950078003120125,0.00019466648934501755,False,False
trendline_structure_score,0.0,2477,0.019110764430577222,595.985040880216,False,False
Nearest_Daily_Resistance,0.0,311,0.018330733229329172,111684792.92929533,False,False
ROC1,0.0,2519,0.0171606864274571,0.00010582767963871154,False,False
Dist_Daily_Resistance,0.0,2397,0.016770670826833072,0.00025435587285438583,False,False
Dist_Daily_Support,0.0,2417,0.014820592823712949,0.00022085039150810263,False,False
Volume,0.0,2370,0.014040561622464899,557048925386.7504,False,False
Close,0.0,2202,0.0078003120124804995,109844480.81201708,False,False
Open,0.0,2074,0.0074102964118564745,109974967.67285459,False,False
High,0.0,2050,0.0074102964118564745,110937002.8324563,False,False
Low,0.0,2103,0.0074102964118564745,108775216.71102104,False,False
RSI28,0.0,2525,0.0070202808112324495,74.64972795711131,False,False
ROC5,0.0,2544,0.0070202808112324495,0.0005404921267553378,False,False
RSI7,0.0,2525,0.0062402496099844,296.150067532775,False,False
ROC10,0.0,2548,0.005850234009360375,0.0010561508367766923,False,False
VOL_Z_5,0.0,2550,0.005850234009360375,0.8282467160486013,False,False
monthly_structure_score,0.0,2446,0.005070202808112325,29.586613628753398,False,False
weekly_structure_score,0.0,2474,0.005070202808112325,31.740280459422166,False,False
RSI14,0.0,2529,0.004290171606864275,144.91170315559467,False,False
daily_structure_score,0.0,2500,0.004290171606864275,39.46371888177354,False,False
BB_WIDTH,0.0,2561,0.00078003120124805,0.0011704814566357346,False,False
structure_score,0.0,2563,0.00078003120124805,57.94823352009005,False,False
EMA10,0.0,2564,0.000390015600624025,109833254.34453788,False,False
EMA10_Dist,0.0,2564,0.000390015600624025,0.0001994719030704766,False,False
EMA21,0.0,2564,0.000390015600624025,109657434.7786729,False,False
EMA21_Dist,0.0,2564,0.000390015600624025,0.0004622241472709907,False,False
EMA50,0.0,2564,0.000390015600624025,108912330.99539566,False,False
EMA50_Dist,0.0,2564,0.000390015600624025,0.0011662384906338773,False,False
EMA200,0.0,2564,0.000390015600624025,103110123.69600722,False,False
EMA200_Dist,0.0,2564,0.000390015600624025,0.004745994887417532,False,False
EMA10_21_Spread,0.0,2564,0.000390015600624025,0.00010322047840908991,False,False
