feature,null_count
symbol,0
source_ticker,0
Date,0
Open,0
High,0
Low,0
Close,0
Volume,0
EMA10,0
EMA10_Dist,0
EMA21,0
EMA21_Dist,0
EMA50,0
EMA50_Dist,0
EMA200,0
EMA200_Dist,0
Above_EMA200,0
Above_EMA50,0
EMA50_Above_EMA200,0
days_above_ema200,0
days_below_ema200,0
days_above_ema50,0
days_below_ema50,0
EMA10_21_Spread,0
EMA21_50_Spread,0
EMA50_200_Spread,0
EMA50_Slope_5,0
EMA50_Slope_20,0
EMA200_Slope_20,0
RSI7,0
RSI14,0
RSI28,0
ADX14,0
ADX28,0
ROC1,0
ROC5,0
ROC10,0
ATR5,0
NATR5,0
ATR14,0
NATR14,0
ATR21,0
NATR21,0
ATR50,0
ATR5_ATR50_RATIO,0
GK_VOL_21,0
BB_WIDTH,0
VOL_Z_5,0
VOL_Z_20,0
CMF20,0
Nearest_Daily_Support,0
Nearest_Daily_Resistance,0
Daily_Support_Touch_Count,0
Daily_Resistance_Touch_Count,0
Dist_Daily_Support,0
Dist_Daily_Resistance,0
Nearest_Weekly_Support,0
Nearest_Weekly_Resistance,0
Weekly_Support_Touch_Count,0
Weekly_Resistance_Touch_Count,0
Dist_Weekly_Support,0
Dist_Weekly_Resistance,0
Nearest_Monthly_Support,0
Nearest_Monthly_Resistance,0
Monthly_Support_Touch_Count,0
Monthly_Resistance_Touch_Count,0
Dist_Monthly_Support,0
Dist_Monthly_Resistance,0
Trendline_Support_Value,0
Trendline_Resistance_Value,0
Dist_Trendline_Support,0
Dist_Trendline_Resistance,0
Trendline_Slope_Up,0
Trendline_Slope_Down,0
Trendline_Support_Slope,0
Trendline_Resistance_Slope,0
Daily_Support_Break,0
Daily_Resistance_Break,0
Weekly_Support_Break,0
Weekly_Resistance_Break,0
Monthly_Support_Break,0
Monthly_Resistance_Break,0
Trendline_Support_Break,0
Trendline_Resistance_Break,0
