horizon,feature,importance
5,ADX14,922.0
5,Trendline_Slope_Down,818.0
5,BB_WIDTH,817.0
5,trend_score,773.0
5,CMF20,710.0
5,Trendline_Slope_Up,708.0
5,ADX28,619.0
5,RSI28,613.0
5,EMA50_200_Spread,604.0
5,ROC5,604.0
5,Volume,592.0
5,Dist_Trendline_Support,588.0
5,EMA50_Slope_20,584.0
5,ATR5_ATR50_RATIO,542.0
5,days_above_ema200,537.0
5,trendline_structure_score,536.0
5,ROC10,508.0
5,Dist_Trendline_Resistance,486.0
5,volatility_score,482.0
5,VOL_Z_5,481.0
5,VOL_Z_20,476.0
5,ROC1,457.0
5,EMA21_50_Spread,449.0
5,EMA200_Slope_20,433.0
5,structure_score,420.0
5,daily_structure_score,418.0
5,ATR50,415.0
5,EMA50_Slope_5,383.0
5,EMA10_21_Spread,381.0
5,EMA200_Dist,377.0
5,Dist_Daily_Support,373.0
5,EMA10_Dist,354.0
5,Dist_Daily_Resistance,338.0
5,persistence_score,338.0
5,GK_VOL_21,337.0
5,ATR14,326.0
5,NATR21,325.0
5,ATR5,320.0
5,days_in_current_regime,305.0
5,days_above_ema50,295.0
5,RSI7,295.0
5,NATR5,291.0
5,RSI14,288.0
5,NATR14,277.0
5,ATR21,274.0
5,monthly_structure_score,274.0
5,EMA200,271.0
5,Dist_Monthly_Support,262.0
5,EMA50_Dist,256.0
5,Open,254.0
5,EMA10,252.0
5,Trendline_Support_Value,238.0
5,Trendline_Resistance_Value,214.0
5,Dist_Weekly_Support,199.0
5,volatility_expansion_score,192.0
5,days_below_ema50,186.0
5,Dist_Weekly_Resistance,186.0
5,weekly_structure_score,182.0
5,Dist_Monthly_Resistance,180.0
5,volatility_compression_score,178.0
5,Monthly_Resistance_Touch_Count,175.0
5,EMA21_Dist,155.0
5,Weekly_Support_Touch_Count,155.0
5,Daily_Support_Touch_Count,148.0
5,Nearest_Daily_Resistance,143.0
5,EMA21,139.0
5,High,135.0
5,Weekly_Resistance_Touch_Count,135.0
5,EMA50,132.0
5,days_below_ema200,123.0
5,Low,120.0
5,Daily_Resistance_Touch_Count,109.0
5,Monthly_Support_Touch_Count,107.0
5,Trendline_Support_Slope,92.0
5,Trendline_Resistance_Slope,92.0
5,Close,91.0
5,Nearest_Daily_Support,70.0
5,Nearest_Weekly_Resistance,44.0
5,Nearest_Monthly_Resistance,21.0
5,Nearest_Weekly_Support,9.0
5,Nearest_Monthly_Support,8.0
5,Trendline_Support_Break,2.0
5,Above_EMA50,1.0
5,EMA50_Above_EMA200,1.0
5,Above_EMA200,0.0
5,Daily_Support_Break,0.0
5,Daily_Resistance_Break,0.0
5,Weekly_Support_Break,0.0
5,Weekly_Resistance_Break,0.0
5,Monthly_Support_Break,0.0
5,Monthly_Resistance_Break,0.0
5,Trendline_Resistance_Break,0.0
10,Trendline_Slope_Down,921.0
10,ADX14,862.0
10,Trendline_Slope_Up,779.0
10,CMF20,751.0
10,days_above_ema200,740.0
10,Dist_Trendline_Support,656.0
10,ADX28,655.0
10,EMA50_200_Spread,629.0
10,BB_WIDTH,616.0
10,GK_VOL_21,555.0
10,Dist_Trendline_Resistance,542.0
10,Volume,518.0
10,trend_score,491.0
10,ROC5,483.0
10,RSI28,472.0
10,trendline_structure_score,472.0
10,days_above_ema50,463.0
10,structure_score,458.0
10,ROC1,453.0
10,VOL_Z_5,452.0
10,EMA50_Slope_20,446.0
10,ATR5_ATR50_RATIO,434.0
10,VOL_Z_20,429.0
10,EMA21_50_Spread,388.0
10,EMA200_Slope_20,384.0
