symbol,regime_label,start_date,end_date,duration_days
NIFTY_50,STRONG_RISK_ON,2021-08-26,2021-10-28,26
NIFTY_50,RISK_ON,2021-10-29,2021-10-29,1
NIFTY_50,STRONG_RISK_ON,2021-11-01,2021-11-04,4
NIFTY_50,RISK_ON,2021-11-08,2021-11-18,9
NIFTY_50,NEUTRAL,2021-11-22,2021-12-03,10
NIFTY_50,RISK_OFF,2021-12-06,2021-12-06,1
NIFTY_50,NEUTRAL,2021-12-07,2021-12-16,8
NIFTY_50,RISK_OFF,2021-12-17,2021-12-27,7
NIFTY_50,NEUTRAL,2021-12-28,2022-01-03,5
NIFTY_50,RISK_ON,2022-01-04,2022-01-14,9
NIFTY_50,STRONG_RISK_ON,2022-01-17,2022-01-17,1
NIFTY_50,RISK_ON,2022-01-18,2022-01-20,3
NIFTY_50,NEUTRAL,2022-01-21,2022-02-01,7
NIFTY_50,RISK_ON,2022-02-02,2022-02-03,2
NIFTY_50,NEUTRAL,2022-02-04,2022-02-11,6
NIFTY_50,RISK_OFF,2022-02-14,2022-02-14,1
NIFTY_50,NEUTRAL,2022-02-15,2022-02-23,7
NIFTY_50,RISK_OFF,2022-02-25,2022-03-16,11
NIFTY_50,NEUTRAL,2022-03-17,2022-04-04,12
NIFTY_50,RISK_ON,2022-04-05,2022-04-05,1
NIFTY_50,NEUTRAL,2022-04-06,2022-04-13,6
NIFTY_50,RISK_OFF,2022-04-18,2022-04-20,3
NIFTY_50,NEUTRAL,2022-04-21,2022-04-21,1
NIFTY_50,RISK_OFF,2022-04-22,2022-05-17,17
NIFTY_50,STRONG_RISK_OFF,2022-05-18,2022-05-27,8
NIFTY_50,RISK_OFF,2022-05-30,2022-05-30,1
NIFTY_50,STRONG_RISK_OFF,2022-05-31,2022-07-07,26
NIFTY_50,RISK_OFF,2022-07-08,2022-07-11,2
NIFTY_50,STRONG_RISK_OFF,2022-07-12,2022-07-15,4
NIFTY_50,RISK_OFF,2022-07-18,2022-07-20,3
NIFTY_50,NEUTRAL,2022-07-21,2022-07-25,3
NIFTY_50,RISK_OFF,2022-07-26,2022-07-26,1
NIFTY_50,NEUTRAL,2022-07-27,2022-08-11,11
NIFTY_50,RISK_ON,2022-08-12,2022-08-16,2
NIFTY_50,STRONG_RISK_ON,2022-08-17,2022-08-18,2
NIFTY_50,RISK_ON,2022-08-19,2022-09-06,12
NIFTY_50,NEUTRAL,2022-09-07,2022-09-07,1
NIFTY_50,RISK_ON,2022-09-08,2022-09-15,6
NIFTY_50,NEUTRAL,2022-09-16,2022-09-22,5
NIFTY_50,RISK_OFF,2022-09-23,2022-10-03,7
NIFTY_50,NEUTRAL,2022-10-04,2022-10-07,3
NIFTY_50,RISK_OFF,2022-10-10,2022-10-14,5
NIFTY_50,NEUTRAL,2022-10-17,2022-11-10,15
NIFTY_50,RISK_ON,2022-11-17,2022-11-21,3
NIFTY_50,NEUTRAL,2022-11-22,2022-11-22,1
NIFTY_50,RISK_ON,2022-11-23,2022-12-02,2
NIFTY_50,STRONG_RISK_ON,2022-12-05,2022-12-05,1
NIFTY_50,RISK_ON,2022-12-06,2022-12-14,7
NIFTY_50,NEUTRAL,2022-12-15,2022-12-22,6
NIFTY_50,RISK_OFF,2022-12-23,2022-12-23,1
NIFTY_50,NEUTRAL,2022-12-26,2023-01-25,23
NIFTY_50,RISK_OFF,2023-01-27,2023-01-27,1
NIFTY_50,NEUTRAL,2023-01-30,2023-01-31,2
NIFTY_50,RISK_OFF,2023-02-01,2023-02-01,1
NIFTY_50,NEUTRAL,2023-02-02,2023-02-10,7
NIFTY_50,RISK_OFF,2023-02-13,2023-02-13,1
NIFTY_50,NEUTRAL,2023-02-14,2023-02-20,5
NIFTY_50,RISK_OFF,2023-02-21,2023-03-24,23
NIFTY_50,STRONG_RISK_OFF,2023-03-27,2023-03-29,3
NIFTY_50,RISK_OFF,2023-03-31,2023-04-10,5
NIFTY_50,NEUTRAL,2023-04-11,2023-05-02,14
NIFTY_50,RISK_ON,2023-05-03,2023-06-22,35
NIFTY_50,NEUTRAL,2023-06-23,2023-06-26,2
NIFTY_50,RISK_ON,2023-06-27,2023-07-10,2
NIFTY_50,STRONG_RISK_ON,2023-07-11,2023-07-11,1
NIFTY_50,RISK_ON,2023-07-12,2023-07-13,2
NIFTY_50,STRONG_RISK_ON,2023-07-21,2023-08-01,8
NIFTY_50,RISK_ON,2023-08-02,2023-08-16,10
NIFTY_50,NEUTRAL,2023-08-17,2023-08-18,2
NIFTY_50,RISK_ON,2023-08-21,2023-08-23,3
NIFTY_50,NEUTRAL,2023-08-24,2023-09-07,11
NIFTY_50,RISK_ON,2023-09-08,2023-09-20,3
NIFTY_50,NEUTRAL,2023-09-21,2023-10-20,21
NIFTY_50,RISK_OFF,2023-10-23,2023-11-01,7
NIFTY_50,NEUTRAL,2023-11-02,2023-11-28,17
NIFTY_50,RISK_ON,2023-11-29,2023-11-30,2
NIFTY_50,STRONG_RISK_ON,2023-12-21,2024-01-19,14
NIFTY_50,RISK_ON,2024-01-23,2024-01-23,1
NIFTY_50,STRONG_RISK_ON,2024-01-24,2024-02-07,10
NIFTY_50,RISK_ON,2024-02-08,2024-02-15,6
NIFTY_50,STRONG_RISK_ON,2024-02-16,2024-02-21,3
