symbol,regime_label,runs,avg_duration_days,median,max_duration_days
NIFTY_50,NEUTRAL,69,6.0,5.0,23
NIFTY_50,RISK_OFF,42,4.904761904761905,3.0,23
NIFTY_50,RISK_ON,52,3.9615384615384617,2.0,35
NIFTY_50,STRONG_RISK_OFF,11,9.363636363636363,8.0,26
NIFTY_50,STRONG_RISK_ON,14,7.428571428571429,3.5,26
NIFTY_MIDCAP_100,NEUTRAL,65,7.2,4.0,42
NIFTY_MIDCAP_100,RISK_OFF,56,4.178571428571429,3.0,18
NIFTY_MIDCAP_100,RISK_ON,58,4.0344827586206895,3.0,15
NIFTY_MIDCAP_100,STRONG_RISK_OFF,22,5.318181818181818,2.0,35
NIFTY_MIDCAP_100,STRONG_RISK_ON,29,4.0344827586206895,2.0,30
NIFTY_SMALLCAP_250,NEUTRAL,21,7.428571428571429,4.0,49
NIFTY_SMALLCAP_250,RISK_OFF,18,4.333333333333333,3.5,12
NIFTY_SMALLCAP_250,RISK_ON,13,6.0,4.0,24
NIFTY_SMALLCAP_250,STRONG_RISK_OFF,7,5.571428571428571,2.0,20
NIFTY_SMALLCAP_250,STRONG_RISK_ON,5,8.0,5.0,18
