horizon,feature,mean_abs_shap
5,trend_score,0.4935343668507349
5,RSI28,0.3957268855429922
5,Volume,0.1782634320874959
5,EMA21_50_Spread,0.15653747722088074
5,volatility_score,0.14362665345006026
5,EMA50_Slope_20,0.1379012426186335
5,BB_WIDTH,0.11337186874539462
5,EMA200_Dist,0.1118215977804033
5,EMA50_200_Spread,0.11026547736114853
5,ADX14,0.10982217241282102
5,Trendline_Slope_Down,0.1070540171486832
5,Dist_Trendline_Support,0.10060414645402123
5,Dist_Trendline_Resistance,0.09282368799493398
5,EMA50_Slope_5,0.083332558978997
5,Trendline_Slope_Up,0.08216124301322755
5,trendline_structure_score,0.07885483958737145
5,persistence_score,0.07850686749258942
5,EMA10_21_Spread,0.0778025424039632
5,RSI14,0.0756305856178435
5,EMA50_Dist,0.07304408031825801
5,ATR50,0.058296970842772036
5,EMA200_Slope_20,0.05661822144865345
5,CMF20,0.04940890634977403
5,ROC10,0.04849599885604383
5,EMA200,0.04579585852283682
5,Weekly_Support_Touch_Count,0.04545066480991393
5,ROC5,0.04355698043479418
5,ATR5_ATR50_RATIO,0.04066118284905983
5,structure_score,0.04004626758462892
5,Dist_Daily_Resistance,0.039419661255183626
5,ADX28,0.03897093906207587
5,NATR21,0.03894011878938346
5,Monthly_Resistance_Touch_Count,0.03833935567348713
5,days_above_ema200,0.037668372645264944
5,EMA10_Dist,0.0373195227790338
5,days_below_ema50,0.03543859279504684
5,ROC1,0.033857819144549085
5,daily_structure_score,0.03166384122708195
5,ATR14,0.030551655303944124
5,Trendline_Resistance_Value,0.02979059895131238
5,ATR21,0.02763991664328031
5,VOL_Z_5,0.02736777856639433
5,Open,0.02690203628695064
5,VOL_Z_20,0.026148067795669007
5,EMA10,0.025971699790741144
5,ATR5,0.02543729282443317
5,Dist_Monthly_Support,0.023844227138628875
5,RSI7,0.023220206199051855
5,Low,0.022322099668150085
5,days_in_current_regime,0.022020253630809304
5,Nearest_Daily_Resistance,0.021363134171134945
5,NATR5,0.020530520701913878
5,days_above_ema50,0.020525576332384016
5,EMA50,0.020353581105462537
5,High,0.02007091582715988
5,Dist_Daily_Support,0.019548496280556965
5,weekly_structure_score,0.019543800575991956
5,GK_VOL_21,0.018136852086451157
5,days_below_ema200,0.018055590478229928
5,Trendline_Support_Value,0.017579053551279814
5,Daily_Support_Touch_Count,0.017190565881617124
5,NATR14,0.01666660497242898
5,Dist_Monthly_Resistance,0.014623164665240714
5,Weekly_Resistance_Touch_Count,0.014169263154142553
5,Trendline_Support_Slope,0.013604103776886433
5,Trendline_Resistance_Slope,0.01357160531279833
5,Dist_Weekly_Resistance,0.013265228638432037
5,EMA21,0.012783533519692847
5,monthly_structure_score,0.012723075142196024
5,Dist_Weekly_Support,0.012048928912410564
5,EMA21_Dist,0.010995131710029365
5,volatility_compression_score,0.010609939588348655
5,volatility_expansion_score,0.010006814893559608
5,Monthly_Support_Touch_Count,0.00931628835445995
5,Nearest_Daily_Support,0.007831487681227134
5,Daily_Resistance_Touch_Count,0.007124942759281792
5,Nearest_Weekly_Resistance,0.007117158865378071
5,Close,0.006464372790772575
5,Nearest_Monthly_Resistance,0.0027025011764124415
5,Above_EMA50,0.0024093485667049273
5,Nearest_Weekly_Support,0.0012563184377444706
5,Nearest_Monthly_Support,0.0008400055959410407
5,EMA50_Above_EMA200,0.00046379343177675215
5,Trendline_Support_Break,0.0004427878153969002
5,Above_EMA200,0.0
5,Daily_Support_Break,0.0
5,Daily_Resistance_Break,0.0
5,Weekly_Support_Break,0.0
5,Weekly_Resistance_Break,0.0
5,Monthly_Support_Break,0.0
5,Monthly_Resistance_Break,0.0
5,Trendline_Resistance_Break,0.0
10,days_above_ema50,0.3599928939637612
10,trend_score,0.20769404721322396
10,RSI28,0.19651593354423155
10,Trendline_Slope_Down,0.17617860495292154
10,EMA50_Dist,0.14020256435929246
10,Dist_Trendline_Resistance,0.13801317052452572
10,EMA50_Slope_5,0.13041981704088335
10,EMA50_200_Spread,0.12147010108276302
10,persistence_score,0.12065882353662374
10,EMA21_50_Spread,0.09905830423538416
10,trendline_structure_score,0.09405271523497219
10,ADX14,0.09358585254920022
10,days_above_ema200,0.09285888922307164
10,Dist_Trendline_Support,0.09255597966771112
10,Volume,0.08399778878370437
10,EMA200,0.08041745146197717
10,structure_score,0.07754663071793601
10,EMA50_Slope_20,0.07629896767010587
10,Trendline_Resistance_Value,0.07627328811314903
10,Trendline_Slope_Up,0.07579192086838879
10,EMA200_Dist,0.06885782178682416
10,CMF20,0.05891118418516358
10,BB_WIDTH,0.05889656979172604
10,EMA200_Slope_20,0.05638008400301929
10,Monthly_Resistance_Touch_Count,0.053743210451270604
10,ADX28,0.051504539292645646
10,days_below_ema200,0.04848206343005963
10,ATR50,0.04489613513005709
10,EMA10_21_Spread,0.04403890158707552
10,days_below_ema50,0.04049800272004442
10,Weekly_Resistance_Touch_Count,0.037897561739840074
10,GK_VOL_21,0.03756237467566746
10,ATR21,0.03738258680468259
10,Dist_Daily_Resistance,0.03727822158860108
10,volatility_score,0.037007485065632485
10,days_in_current_regime,0.03687650592764814
10,ROC5,0.03230578286554546
10,NATR21,0.031490724224268275
10,VOL_Z_20,0.031181848536838953
10,EMA50,0.0302400185713259
10,ROC10,0.029384956224511028
10,ATR5_ATR50_RATIO,0.028127049664795806
