Pair,Avg_Beta,Spread_p_value,Sharpe,Max_Drawdown,Total_Return
HDFC vs ICICI,2.4107,0.058849,-1.6654,-0.0048,-4792.67
HDFC vs AXISBANK,0.9912,0.021835,-3.8689,-0.0082,-8247.0
HDFC vs SBIN,0.9905,0.011049,-2.8311,-0.005,-4942.52
HDFC vs KOTAK,0.2308,0.144961,-2.2878,-0.0039,-3872.71
HDFC vs INDUSIND,1.4786,0.014149,-3.4459,-0.0085,-8276.47
HDFC vs BANKBEES,1.2816,0.024874,-2.3851,-0.0043,-4268.96
ICICI vs AXISBANK,0.4595,0.2234,-0.8556,-0.0017,-1259.86
ICICI vs SBIN,0.4167,0.11387,-0.2856,-0.0007,-412.89
ICICI vs KOTAK,0.0938,0.79525,-0.4,-0.0009,-560.06
ICICI vs INDUSIND,0.7775,0.062729,-0.9799,-0.0018,-1471.49
ICICI vs BANKBEES,0.4948,0.0622,-0.5911,-0.0009,-842.58
AXISBANK vs SBIN,0.5603,0.147782,-2.6026,-0.003,-2913.04
AXISBANK vs KOTAK,0.1253,0.777059,-1.7266,-0.0019,-1884.45
AXISBANK vs INDUSIND,1.5082,0.054308,-1.4702,-0.0017,-1581.96
AXISBANK vs BANKBEES,0.5708,0.018945,-2.8549,-0.0037,-3728.4
SBIN vs KOTAK,0.0868,0.592975,-1.9361,-0.0034,-3031.58
SBIN vs INDUSIND,1.2816,0.054413,-3.1099,-0.0058,-5631.44
SBIN vs BANKBEES,0.9767,0.064602,-2.3257,-0.0035,-3428.64
KOTAK vs INDUSIND,3.4348,0.055186,-3.0062,-0.015,-15006.45
KOTAK vs BANKBEES,1.6894,0.007724,-3.6426,-0.0156,-15578.91
INDUSIND vs BANKBEES,0.2148,0.074981,-2.4222,-0.0017,-1700.17
