Pair,Beta,Spread_p_value,Sharpe,Max_Drawdown,Total_Return,Correlation
BAJAJ-AUTO.NS vs DRREDDY.NS,13.4518,0.007985,-2.3893,-0.034,-34029.3,0.9225
MARUTI.NS vs TATASTEEL.NS,81.583,0.009279,-2.4909,-0.0389,-38319.39,0.8822
DRREDDY.NS vs ULTRACEMCO.NS,0.073,0.003874,-2.6492,-0.0317,-31695.11,0.9078
APOLLOHOSP.NS vs PIDILITIND.NS,6.5534,0.007869,-2.7234,-0.0386,-38512.32,0.8939
DRREDDY.NS vs LT.NS,0.1781,0.012658,-2.7407,-0.0337,-33747.57,0.8948
DRREDDY.NS vs HEROMOTOCO.NS,0.1323,0.011644,-2.7561,-0.0357,-35709.4,0.8788
BAJAJ-AUTO.NS vs ONGC.NS,39.4203,0.001527,-2.7719,-0.0425,-42458.92,0.9597
ADANIPORTS.NS vs GRASIM.NS,0.5696,0.003787,-2.7848,-0.0352,-35194.96,0.942
APOLLOHOSP.NS vs HEROMOTOCO.NS,0.983,0.010089,-2.7963,-0.0364,-36280.11,0.8641
APOLLOHOSP.NS vs MARUTI.NS,0.4453,0.011326,-2.8014,-0.0355,-35433.06,0.8934
APOLLOHOSP.NS vs LT.NS,1.4007,0.006432,-2.832,-0.0357,-35706.85,0.9308
GRASIM.NS vs SUNPHARMA.NS,1.1989,0.01101,-2.8513,-0.0366,-36491.79,0.9552
APOLLOHOSP.NS vs ICICIBANK.NS,4.7969,0.003286,-2.8611,-0.0393,-39251.55,0.9463
APOLLOHOSP.NS vs BHARTIARTL.NS,2.5264,0.001951,-2.8652,-0.0395,-39488.81,0.9431
BAJAJFINSV.NS vs KOTAKBANK.NS,6.7235,0.002147,-2.8676,-0.0371,-37096.26,0.7044
CIPLA.NS vs NTPC.NS,2.4787,0.002537,-2.8721,-0.0369,-36924.61,0.9629
APOLLOHOSP.NS vs ULTRACEMCO.NS,0.5791,0.000214,-2.8829,-0.042,-42028.26,0.9526
HCLTECH.NS vs ONGC.NS,4.6915,0.010224,-2.8973,-0.037,-36928.38,0.9253
JSWSTEEL.NS vs ULTRACEMCO.NS,0.0773,0.002616,-2.906,-0.0378,-37819.9,0.9353
BAJAJFINSV.NS vs SBIN.NS,1.0972,0.009163,-2.9118,-0.0362,-36191.75,0.7398
HDFCBANK.NS vs KOTAKBANK.NS,2.5565,0.01067,-2.9129,-0.0397,-39713.95,0.7295
APOLLOHOSP.NS vs M&M.NS,1.2778,0.005451,-2.9395,-0.0383,-38301.03,0.9261
BRITANNIA.NS vs JSWSTEEL.NS,4.6098,0.006465,-2.9447,-0.0408,-40399.69,0.9041
TATASTEEL.NS vs ULTRACEMCO.NS,0.0119,0.010387,-2.945,-0.041,-40962.87,0.8995
BPCL.NS vs TATASTEEL.NS,2.3116,9.7e-05,-2.9462,-0.0409,-40914.3,0.9144
APOLLOHOSP.NS vs GRASIM.NS,2.5253,9.5e-05,-2.9467,-0.0434,-43427.39,0.9589
BAJAJ-AUTO.NS vs NTPC.NS,24.6075,0.005423,-2.952,-0.043,-42730.36,0.9732
APOLLOHOSP.NS vs SBILIFE.NS,4.145,0.009682,-2.9682,-0.0423,-42314.67,0.9166
AXISBANK.NS vs LT.NS,0.2073,0.000529,-2.9698,-0.0416,-41599.96,0.9555
MARUTI.NS vs SBIN.NS,14.1125,0.000743,-2.972,-0.0494,-49381.52,0.951
HEROMOTOCO.NS vs TATASTEEL.NS,36.0367,0.00169,-2.979,-0.04,-39852.67,0.8895
APOLLOHOSP.NS vs JSWSTEEL.NS,6.7657,0.004714,-2.9813,-0.0433,-43287.16,0.9199
ADANIPORTS.NS vs RELIANCE.NS,1.6181,0.012122,-2.9872,-0.0435,-43512.99,0.9003
BAJAJ-AUTO.NS vs POWERGRID.NS,33.1319,0.012783,-2.9974,-0.0441,-44087.37,0.9663
LT.NS vs NESTLEIND.NS,5.3356,0.001029,-3.0081,-0.0434,-43364.43,0.9389
CIPLA.NS vs COALINDIA.NS,2.0743,0.007319,-3.0205,-0.0407,-40644.59,0.9535
EICHERMOT.NS vs JSWSTEEL.NS,7.2026,0.000454,-3.0224,-0.0429,-42913.48,0.9421
PIDILITIND.NS vs POWERGRID.NS,2.1663,0.000609,-3.0249,-0.0426,-42569.14,0.8937
DRREDDY.NS vs NTPC.NS,1.5605,0.010247,-3.0367,-0.0414,-41385.4,0.9
HEROMOTOCO.NS vs JSWSTEEL.NS,5.6108,0.008306,-3.0372,-0.0418,-41604.09,0.8678
CIPLA.NS vs ONGC.NS,3.926,0.011967,-3.0397,-0.0444,-44368.85,0.9388
ADANIPORTS.NS vs BPCL.NS,3.9913,0.003828,-3.0421,-0.0413,-41317.96,0.9535
CIPLA.NS vs POWERGRID.NS,3.3416,0.00242,-3.044,-0.0408,-40826.71,0.9573
APOLLOHOSP.NS vs SUNPHARMA.NS,3.1133,0.00977,-3.0453,-0.0428,-42716.11,0.9418
AXISBANK.NS vs BRITANNIA.NS,0.1961,3.6e-05,-3.0488,-0.0415,-41526.32,0.9428
RELIANCE.NS vs SBILIFE.NS,0.5069,0.011367,-3.0518,-0.0416,-41554.24,0.8774
AXISBANK.NS vs JSWSTEEL.NS,0.9514,0.006752,-3.0567,-0.0416,-41646.56,0.8972
COALINDIA.NS vs ONGC.NS,1.8811,0.007409,-3.0596,-0.0419,-41949.58,0.9785
AXISBANK.NS vs COALINDIA.NS,1.4917,0.008665,-3.0623,-0.0417,-41720.44,0.9342
AXISBANK.NS vs TATASTEEL.NS,5.8387,0.006092,-3.0772,-0.0443,-44260.88,0.8786
BAJAJFINSV.NS vs DIVISLAB.NS,0.1786,0.008794,-3.0907,-0.0418,-41765.73,0.7485
BRITANNIA.NS vs LT.NS,0.9692,0.008486,-3.0923,-0.043,-42959.83,0.9291
LT.NS vs TITAN.NS,1.2308,0.002829,-3.094,-0.0439,-43919.41,0.9486
GRASIM.NS vs ULTRACEMCO.NS,0.2251,0.001488,-3.096,-0.0424,-42382.01,0.9751
CIPLA.NS vs SUNPHARMA.NS,0.6278,0.009903,-3.1005,-0.0425,-42486.71,0.9669
GRASIM.NS vs SBILIFE.NS,1.6072,0.011112,-3.1022,-0.0427,-42618.36,0.936
APOLLOHOSP.NS vs BPCL.NS,16.3941,0.008345,-3.104,-0.046,-45988.64,0.8992
JSWSTEEL.NS vs SBILIFE.NS,0.5701,0.00359,-3.1113,-0.043,-42934.36,0.9272
RELIANCE.NS vs TITAN.NS,0.2206,0.006417,-3.1125,-0.0428,-42831.98,0.8843
DRREDDY.NS vs ONGC.NS,2.5053,0.009899,-3.1151,-0.0451,-45092.7,0.8894
GRASIM.NS vs HEROMOTOCO.NS,0.3958,0.003768,-3.1239,-0.0432,-43216.28,0.9162
PIDILITIND.NS vs SUNPHARMA.NS,0.4021,0.002391,-3.1464,-0.0437,-43656.23,0.8918
BHARTIARTL.NS vs ICICIBANK.NS,1.84,0.008083,-3.1527,-0.0465,-46532.41,0.9724
JSWSTEEL.NS vs MARUTI.NS,0.0626,0.000676,-3.1595,-0.0446,-44530.61,0.9242
NESTLEIND.NS vs RELIANCE.NS,0.7928,0.007225,-3.1599,-0.0464,-46383.65,0.8661
BAJFINANCE.NS vs KOTAKBANK.NS,3.5887,0.000243,-3.1646,-0.045,-44964.25,0.789
APOLLOHOSP.NS vs HCLTECH.NS,3.8945,0.003284,-3.1793,-0.048,-47949.74,0.9274
EICHERMOT.NS vs SHRIRAMFIN.NS,6.4902,0.008053,-3.1793,-0.0444,-44385.3,0.9433
SBILIFE.NS vs TATASTEEL.NS,9.1062,0.012633,-3.1936,-0.045,-44902.35,0.8934
BHARTIARTL.NS vs GRASIM.NS,0.9518,0.00092,-3.1963,-0.0458,-45690.32,0.9682
CIPLA.NS vs PIDILITIND.NS,1.2817,0.003475,-3.2195,-0.0459,-45845.43,0.89
